Time Series 6 = CellDef_1.Attractant (Concentration)
Time Series 7 = CellDef_2.Attractant (Concentration)
Time Series 8 = CellDef_3.Attractant (Concentration)
Time Series 9 = CellDef_4.Attractant (Concentration)
Time Series 10 = CellDef_5.Attractant (Concentration)

Time,Time Series 6,Time Series 7,Time Series 8,Time Series 9,Time Series 10
0,0.1851952910,0.3157987595,0.2058524132,0.2441838741,0.2643182039
0.02,0.1851954222,0.3157985687,0.2058524370,0.2441837788,0.2643181324
0.04,0.1851955295,0.3157984257,0.2058525085,0.2441837549,0.2643180609
0.06,0.1851956487,0.3157982588,0.2058525085,0.2441837311,0.2643179893
0.08,0.1851957560,0.3157981157,0.2058525562,0.2441837072,0.2643179417
0.10,0.1851958752,0.3157979250,0.2058525562,0.2441836834,0.2643178463
0.12,0.1851959944,0.3157977581,0.2058526039,0.2441836357,0.2643177509
0.14,0.1851961136,0.3157976151,0.2058526278,0.2441835880,0.2643176794
0.16,0.1851962328,0.3157974482,0.2058526278,0.2441835403,0.2643176079
0.18,0.1851963401,0.3157972574,0.2058526516,0.2441835165,0.2643175602
0.20,0.1851964951,0.3157970905,0.2058526993,0.2441834688,0.2643174887
0.22,0.1851965904,0.3157969475,0.2058526993,0.2441834211,0.2643173695
0.24,0.1851967096,0.3157967806,0.2058527231,0.2441833973,0.2643172979
0.26,0.1851968288,0.3157966375,0.2058527470,0.2441833258,0.2643172026
0.28,0.1851969361,0.3157964230,0.2058527708,0.2441833019,0.2643171549
0.30,0.1851970553,0.3157962799,0.2058527946,0.2441832542,0.2643170595
0.32,0.1851971626,0.3157961130,0.2058528423,0.2441832304,0.2643170118
0.34,0.1851972699,0.3157959223,0.2058528662,0.2441831827,0.2643169403
0.36,0.1851974010,0.3157957554,0.2058528900,0.2441831350,0.2643169165
0.38,0.1851975083,0.3157955408,0.2058529139,0.2441831112,0.2643168211
0.40,0.1851976275,0.3157954216,0.2058529377,0.2441830635,0.2643167257
0.42,0.1851977348,0.3157952785,0.2058529615,0.2441830158,0.2643166065
0.44,0.1851978421,0.3157950878,0.2058529854,0.2441829920,0.2643165588
0.46,0.1851979733,0.3157948971,0.2058530092,0.2441829443,0.2643165112
0.48,0.1851981163,0.3157947540,0.2058530569,0.2441829205,0.2643164635
0.50,0.1851981997,0.3157945395,0.2058531284,0.2441828489,0.2643163681
0.52,0.1851983309,0.3157943726,0.2058531284,0.2441828251,0.2643163204
0.54,0.1851984501,0.3157942057,0.2058531523,0.2441827774,0.2643162489
0.56,0.1851985693,0.3157940388,0.2058531761,0.2441827297,0.2643161774
0.58,0.1851986766,0.3157938957,0.2058532000,0.2441827059,0.2643161058
0.60,0.1851987958,0.3157937050,0.2058532238,0.2441826582,0.2643160582
0.62,0.1851989269,0.3157935619,0.2058532476,0.2441826344,0.2643159866
0.64,0.1851990223,0.3157934189,0.2058532953,0.2441825867,0.2643158674
0.66,0.1851991534,0.3157932281,0.2058532953,0.2441825628,0.2643158197
0.68,0.1851992607,0.3157930374,0.2058533192,0.2441825390,0.2643157721
0.70,0.1851993322,0.3157928705,0.2058533430,0.2441824675,0.2643157005
0.72,0.1851994872,0.3157926798,0.2058533669,0.2441824436,0.2643156052
0.74,0.1851996064,0.3157925367,0.2058533669,0.2441823959,0.2643154860
0.76,0.1851997018,0.3157923698,0.2058534145,0.2441823244,0.2643154144
0.78,0.1851998210,0.3157922268,0.2058534384,0.2441823244,0.2643153429
0.80,0.1851999283,0.3157920361,0.2058534861,0.2441822767,0.2643152714
0.82,0.1852000594,0.3157918692,0.2058535099,0.2441822529,0.2643152237
0.84,0.1852001786,0.3157916784,0.2058534861,0.2441821575,0.2643151045
0.86,0.1852002859,0.3157914877,0.2058535099,0.2441820860,0.2643150568
0.88,0.1852004051,0.3157913446,0.2058535337,0.2441820621,0.2643149853
0.90,0.1852005124,0.3157912016,0.2058535814,0.2441820145,0.2643149137
0.92,0.1852006197,0.3157910347,0.2058536053,0.2441819906,0.2643148661
0.94,0.1852007627,0.3157908440,0.2058536291,0.2441819668,0.2643147945
0.96,0.1852008581,0.3157906771,0.2058536530,0.2441819191,0.2643147469
0.98,0.1852009892,0.3157904625,0.2058537006,0.2441818953,0.2643146992
1.00,0.1852011085,0.3157902956,0.2058537245,0.2441818476,0.2643146038
1.02,0.1852012038,0.3157901287,0.2058537483,0.2441818237,0.2643145323
1.04,0.1852013469,0.3157899618,0.2058537483,0.2441817999,0.2643144369
1.06,0.1852014303,0.3157897949,0.2058537960,0.2441817522,0.2643143177
1.08,0.1852015615,0.3157896280,0.2058538198,0.2441817045,0.2643142462
1.10,0.1852016687,0.3157894850,0.2058538437,0.2441816568,0.2643141747
1.12,0.1852017999,0.3157893181,0.2058538675,0.2441816092,0.2643141031
1.14,0.1852019072,0.3157891750,0.2058539391,0.2441815853,0.2643140554
1.16,0.1852020144,0.3157889605,0.2058539391,0.2441815138,0.2643139839
1.18,0.1852021456,0.3157888174,0.2058539867,0.2441814899,0.2643139124
1.20,0.1852022290,0.3157886028,0.2058539867,0.2441814184,0.2643137932
1.22,0.1852023840,0.3157884598,0.2058540106,0.2441813946,0.2643137455
1.24,0.1852024794,0.3157882929,0.2058540344,0.2441813469,0.2643136740
1.26,0.1852026105,0.3157881498,0.2058540821,0.2441813231,0.2643136263
1.28,0.1852027178,0.3157879829,0.2058541059,0.2441812515,0.2643135309
1.30,0.1852028370,0.3157877922,0.2058541298,0.2441812277,0.2643134594
1.32,0.1852029800,0.3157876492,0.2058541536,0.2441812038,0.2643133879
1.34,0.1852030516,0.3157874823,0.2058541775,0.2441811323,0.2643133402
1.36,0.1852031827,0.3157873154,0.2058542013,0.2441811085,0.2643132687
1.38,0.1852033019,0.3157871485,0.2058542490,0.2441810369,0.2643131971
1.40,0.1852034211,0.3157870054,0.2058542728,0.2441809893,0.2643131256
1.42,0.1852035403,0.3157867908,0.2058542967,0.2441809416,0.2643130302
1.44,0.1852036357,0.3157866478,0.2058543205,0.2441808939,0.2643129826
1.46,0.1852037549,0.3157864571,0.2058543205,0.2441808701,0.2643129349
