"Time Series 6 = CellDef_1.Attractant (Concentration)",,,,,,,,,,
"Time Series 7 = CellDef_2.Attractant (Concentration)",,,,"Time Series 2 = CellDef_2.runTime (Cells)",,,,,,
"Time Series 8 = CellDef_3.Attractant (Concentration)",,,,"Time Series 3 = CellDef_3.runTime (Cells)",,,,,,
"Time Series 9 = CellDef_4.Attractant (Concentration)",,,,"Time Series 4 = CellDef_4.runTime (Cells)",,,,,,
"Time Series 10 = CellDef_5.Attractant (Concentration)",,,,"Time Series 5 = CellDef_5.runTime (Cells)",,,,,,
"Time","Time Series 6","Time Series 7","Time Series 8","Time Series9","Time Series 10","Time Series 1","Time Series 2","Time Series 3","Time Series 4","Time Series 5"
0,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.02,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.04,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.06,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.08,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.1,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.12,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.14,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.16,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.18,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.2,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.22,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.24,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.26,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.28,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.3,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.32,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.34,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.36,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.38,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.4,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.42,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.44,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.46,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.48,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.5,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.52,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.54,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.56,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.58,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.6,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.62,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.64,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.66,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.68,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.7,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.72,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.74,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.76,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.78,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.8,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.82,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.84,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.86,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.88,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.9,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.92,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.94,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.96,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
0.98,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
