"Time Series 1 = CellDef_1.Attractant (Concentration)",,,,,,,,,,
"Time","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 2","Time Series 2","Time Series 2","Time Series 2","Time Series 2"
0,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.05,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.1,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.15,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.2,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.25,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.3,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.35,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.4,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.45,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.5,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.55,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.6,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.65,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.7,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.75,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.8,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.85,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.9,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
0.95,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.05,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.1,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.15,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.2,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.25,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.3,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.35,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.4,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.45,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.5,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.55,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.6,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.65,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.7,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.75,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.8,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.85,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.9,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
1.95,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
2,0.08,0.08,0.39,0.39,0.39,0,0,0,0,0
2.05,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.1,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.15,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.2,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.25,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.3,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.35,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.4,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.45,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.5,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.55,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.6,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.65,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.7,0.08,0.08,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.75,0.08,0.09,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.8,0.08,0.09,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.85,0.08,0.09,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.9,0.08,0.09,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
2.95,0.08,0.09,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
3,0.08,0.09,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
3.05,0.08,0.09,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
3.1,0.08,0.09,0.39,0.39,0.39,0.05,0.05,0.05,0.05,0.05
3.15,0.08,0.09,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.2,0.08,0.1,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.25,0.08,0.1,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.3,0.09,0.1,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.35,0.09,0.1,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.4,0.09,0.1,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.45,0.09,0.1,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.5,0.09,0.1,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.55,0.09,0.1,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.6,0.09,0.11,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.65,0.09,0.11,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.7,0.09,0.11,0.39,0.39,0.4,0.05,0.05,0.05,0.05,0.05
3.75,0.09,0.11,0.39,0.39,0.41,0.05,0.05,0.05,0.05,0.05
3.8,0.09,0.11,0.39,0.39,0.41,0.05,0.05,0.05,0.05,0.05
3.85,0.09,0.11,0.39,0.39,0.41,0.05,0.05,0.05,0.05,0.05
3.9,0.09,0.11,0.39,0.39,0.41,0.05,0.05,0.05,0.05,0.05
3.95,0.09,0.12,0.39,0.39,0.41,0.05,0.05,0.05,0.05,0.05
4,0.09,0.12,0.39,0.39,0.41,0.05,0.05,0.05,0.05,0.05
4.05,0.09,0.12,0.39,0.39,0.41,0.05,0.05,0.05,0.05,0.05
4.1,0.09,0.12,0.39,0.39,0.41,0,0,0.05,0.05,0.05
4.15,0.09,0.12,0.39,0.39,0.41,0,0,0.05,0.05,0.05
4.2,0.09,0.12,0.39,0.39,0.41,0,0,0.05,0.05,0.05
4.25,0.09,0.12,0.39,0.39,0.41,0,0,0.05,0.05,0.05
4.3,0.09,0.13,0.39,0.39,0.41,0,0,0.05,0.05,0.05
4.35,0.09,0.13,0.39,0.39,0.42,0,0,0.05,0.05,0.05
4.4,0.09,0.13,0.39,0.39,0.42,0,0,0.05,0.05,0.05
4.45,0.09,0.13,0.39,0.39,0.42,0,0,0.05,0.05,0.05
4.5,0.09,0.13,0.4,0.39,0.42,0,0,0.05,0.05,0.05
4.55,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.6,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.65,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.7,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.75,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.8,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.85,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.9,0.09,0.13,0.4,0.4,0.43,0,0,0.05,0.05,0.05
