"Time Series 1 = CellDef_1.Attractant (Concentration)",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Time","Time Series 1","Time Series 1","Time Series 1","Time Series 1",,"Time Series 2","Time Series 2","Time Series 2","Time Series 2",,"Time Series 3","Time Series 3",
0,0,0.0000029506,0.0000029506,0.0073691398,,0,0,0,0,,0.05,0.05,0.05
0.05,0,0.0000029601,0.0000029601,0.0073761657,,0,0,0,0,,0.05,0.05,0.05
0.1,0,0.0000029695,0.0000029695,0.0073831886,,0,0,0,0,,0.05,0.05,0.05
0.15,0,0.000002979,0.000002979,0.0073902093,,0,0,0,0,,0.05,0.05,0.05
0.2,0,0.0000029885,0.0000029885,0.0073972292,,0,0,0,0,,0.05,0.05,0.05
0.25,0,0.000002998,0.000002998,0.0074042462,,0,0,0,0,,0.05,0.05,0.05
0.3,0,0.0000030075,0.0000030075,0.0074112602,,0,0,0,0,,0.05,0.05,0.05
0.35,0,0.0000030171,0.0000030171,0.0074182719,,0,0,0,0,,0.05,0.05,0.05
0.4,0,0.0000030266,0.0000030266,0.0074252836,,0,0,0,0,,0.05,0.05,0.05
0.45,0,0.0000030362,0.0000030362,0.0074322939,,0,0,0,0,,0.05,0.05,0.05
0.5,0,0.0000030458,0.0000030458,0.0074393004,,0,0,0,0,,0.05,0.05,0.05
0.55,0,0.0000030553,0.0000030553,0.0074463055,,0,0,0,0,,0.05,0.05,0.05
0.6,0,0.0000030649,0.0000030649,0.0074533075,,0,0,0,0,,0.05,0.05,0.05
0.65,0,0.0000030746,0.0000030746,0.0074603103,,0,0,0,0,,0.05,0.05,0.05
0.7,0,0.0000030842,0.0000030842,0.0074673094,,0,0,0,0,,0.05,0.05,0.05
0.75,0,0.0000030938,0.0000030938,0.0074743062,,0,0,0,0,,0.05,0.05,0.05
0.8,0,0.0000031035,0.0000031035,0.0074813023,,0,0,0,0,,0.05,0.05,0.05
0.85,0,0.0000031131,0.0000031131,0.0074882925,,0,0,0,0,,0.05,0.05,0.05
0.9,0,0.0000031228,0.0000031228,0.0074952856,,0,0,0,0,,0.05,0.05,0.05
0.95,0,0.0000031325,0.0000031325,0.0075022757,,0,0,0,0,,0.05,0.05,0.05
1,0,0.0000031422,0.0000031422,0.0075092629,,0,0,0,0,,0.05,0.05,0.05
1.05,0,0.0000031519,0.0000031519,0.0075162478,,0,0,0,0,,0.05,0.05,0.05
1.1,0,0.0000031616,0.0000031616,0.007523229,,0,0,0,0,,0.05,0.05,0.05
1.15,0,0.0000031713,0.0000031713,0.0075302117,,0,0,0,0,,0.05,0.05,0.05
1.2,0,0.0000031811,0.0000031811,0.0075371899,,0,0,0,0,,0.05,0.05,0.05
1.25,0,0.0000031909,0.0000031909,0.0075441644,,0,0,0,0,,0.05,0.05,0.05
1.3,0,0.0000032006,0.0000032006,0.0075511411,,0,0,0,0,,0.05,0.05,0.05
1.35,0,0.0000032104,0.0000032104,0.0075581133,,0,0,0,0,,0.05,0.05,0.05
1.4,0,0.0000032202,0.0000032202,0.0075650856,,0,0,0,0,,0.05,0.05,0.05
1.45,0,0.00000323,0.00000323,0.0075720549,,0,0,0,0,,0.05,0.05,0.05
1.5,0,0.0000032398,0.0000032398,0.0075790226,,0,0,0,0,,0.05,0.05,0.05
1.55,0,0.0000032497,0.0000032497,0.007585986,,0,0,0,0,,0.05,0.05,0.05
1.6,0,0.0000032595,0.0000032595,0.0075929485,,0,0,0,0,,0.05,0.05,0.05
1.65,0,0.0000032694,0.0000032694,0.0075999111,,0,0,0,0,,0.05,0.05,0.05
1.7,0,0.0000032793,0.0000032793,0.0076068699,,0,0,0,0,,0.05,0.05,0.05
1.75,0,0.0000032892,0.0000032892,0.0076138273,,0,0,0,0,,0.05,0.05,0.05
1.8,0,0.0000032991,0.0000032991,0.0076207846,,0,0,0,0,,0.05,0.05,0.05
1.85,0,0.000003309,0.000003309,0.0076277398,,0,0,0,0,,,0.05,0.05
1.9,0,0.0000033189,0.0000033189,0.0076346926,,0,0,0,0,,0.05,0.05,0.05
1.95,0,0.0000033288,0.0000033288,0.0076416425,,0,0,0,0,,0.05,0.05,0.05
2,0,0.0000033388,0.0000033388,0.0076485902,,0,0,0,0,,0.05,0.05,0.05
2.05,0,0.0000033487,0.0000033487,0.0076555349,,0.05,0.05,0.05,0.05,,0,0,0
2.1,0,0.0000033641,0.0000033611,0.0076576002,,0.05,0.05,0.05,0.05,,0,0,0
2.15,0,0.0000033845,0.0000033757,0.00765514,,0.05,0.05,0.05,0.05,,0,0,0
2.2,0,0.0000034097,0.0000033923,0.0076484986,,0.05,0.05,0.05,0.05,,0,0,0
2.25,0,0.0000034395,0.0000034109,0.0076379798,,0.05,0.05,0.05,0.05,,0,0,0
2.3,0,0.0000034734,0.0000034314,0.0076238699,,0.05,0.05,0.05,0.05,,0,0,0
2.35,0,0.0000035115,0.0000034535,0.0076064542,,0.05,0.05,0.05,0.05,,0,0,0
2.4,0,0.0000035535,0.0000034772,0.0075859815,,0.05,0.05,0.05,0.05,,0,0,0
2.45,0,0.0000035992,0.0000035024,0.007562682,,0.05,0.05,0.05,0.05,,0,0,0
2.5,0,0.0000036486,0.000003529,0.0075367682,,0.05,0.05,0.05,0.05,,0,0,0
2.55,0,0.0000037014,0.0000035569,0.0075084403,,0.05,0.05,0.05,0.05,,0,0,0
2.6,0,0.0000037576,0.000003586,0.0074778937,,0.05,0.05,0.05,0.05,,0,0,0
2.65,0,0.0000038171,0.0000036162,0.0074452847,,0.05,0.05,0.05,0.05,,0,0,0
2.7,0,0.0000038799,0.0000036475,0.0074107833,,0.05,0.05,0.05,0.05,,0,0,0
2.75,0,0.0000039457,0.0000036798,0.0073745206,,0.05,0.05,0.05,0.05,,0,0,0
2.8,0,0.0000040147,0.0000037131,0.0073366396,,0.05,0.05,0.05,0.05,,0,0,0
2.85,0,0.0000040867,0.0000037472,0.0072972514,,0.05,0.05,0.05,0.05,,0,0,0
2.9,0,0.0000041617,0.0000037821,0.0072564743,,0.05,0.05,0.05,0.05,,0,0,0
2.95,0,0.0000042396,0.0000038178,0.0072144151,,0.05,0.05,0.05,0.05,,0,0,0
3,0,0.0000043204,0.0000038542,0.0071711555,,0.05,0.05,0.05,0.05,,0,0,0
3.05,0,0.0000044042,0.0000038913,0.0071267985,,0.05,0.05,0.05,0.05,,0,0,0
3.1,0,0.0000044908,0.000003929,0.0070814125,,0.05,0.05,0.05,0.05,,0,0,0
3.15,0,0.0000045802,0.0000039672,0.0070350751,,0.05,0.05,0.05,0.05,,0,0,0
3.2,0,0.0000046725,0.000004006,0.0069878519,,0.05,0.05,0.05,0.05,,0,0,0
3.25,0,0.0000047676,0.0000040453,0.0069398023,,0.05,0.05,0.05,0.05,,0,0,0
3.3,0,0.0000048656,0.000004085,0.0068909839,,0.05,0.05,0.05,0.05,,0,0,0
3.35,0,0.0000049664,0.0000041252,0.0068414599,,0.05,0.05,0.05,0.05,,0,0,0
3.4,0,0.00000507,0.0000041658,0.0067912661,,0.05,0.05,0.05,0.05,,0,0,0
3.45,0,0.0000051765,0.0000042067,0.0067404613,,0.05,0.05,0.05,0.05,,0,0,0
3.5,0,0.0000052858,0.0000042479,0.0066890836,,0.05,0.05,0.05,0.05,,0,0,0
3.55,0,0.0000053979,0.0000042894,0.0066371672,,0.05,0.05,0.05,0.05,,0,0,0
3.6,0,0.000005513,0.0000043312,0.0065847538,,0.05,0.05,0.05,0.05,,0,0,0
3.65,0,0.0000056309,0.0000043732,0.0065318875,,0.05,0.05,0.05,0.05,,0,0,0
3.7,0,0.0000057518,0.0000044155,0.0064785928,,0.05,0.05,0.05,0.05,,0,0,0
3.75,0,0.0000058756,0.0000044579,0.0064249039,,0.05,0.05,0.05,0.05,,0,0,0
3.8,0,0.0000060023,0.0000045004,0.0063708536,,0.05,0.05,0.05,0.05,,0,0,0
3.85,0,0.0000061321,0.0000045431,0.0063164681,,0.05,0.05,0.05,0.05,,0,0,0
3.9,0,0.0000062648,0.0000045859,0.0062617771,,0.05,0.05,0.05,0.05,,0,0,0
3.95,0,0.0000064006,0.0000046287,0.0062068075,,0.05,0.05,0.05,0.05,,0,0,0
4,0,0.0000065395,0.0000046717,0.006151586,,0.05,0.05,0.05,0.05,,0,0,0
4.05,0,0.0000066815,0.0000047146,0.0060961358,,0.05,0.05,0.05,0.05,,0,0,0
4.1,0,0.0000068267,0.0000047575,0.0060404874,,0,0.05,0.05,0,,0.05,0,0
4.15,0,0.000006975,0.0000048004,0.0059894059,,0,0.05,0.05,0,,0.05,0,0
4.2,0,0.0000071266,0.0000048433,0.0059425369,,0,0.05,0.05,0,,0.05,0,0
4.25,0,0.0000072814,0.000004886,0.0058995668,,0,0.05,0.05,0,,0.05,0,0
4.3,0,0.0000074396,0.0000049287,0.0058601953,,0,0.05,0.05,0,,0.05,0,0
4.35,0,0.0000076011,0.0000049713,0.0058241408,,0,0.05,0.05,0,,0.05,0,0
4.4,0,0.0000077661,0.0000050137,0.0057911552,,0,0.05,0.05,0,,0.05,0,0
4.45,0,0.0000079345,0.000005056,0.0057609979,,0,0.05,0.05,0,,0.05,0,0
4.5,0,0.0000081064,0.000005098,0.0057334557,,0,0.05,0.05,0,,0.05,0,0
4.55,0,0.0000082819,0.0000051399,0.0057083257,,0,0.05,0.05,0,,0.05,0,0
4.6,0,0.000008461,0.0000051815,0.0056854278,,0,0.05,0.05,0,,0.05,0,0
4.65,0,0.0000086438,0.0000052229,0.0056645907,,0,0.05,0.05,0,,0.05,0,0
4.7,0,0.0000088303,0.0000052639,0.0056456503,,0,0.05,0.05,0,,0.05,0,0
4.75,0,0.0000090206,0.0000053047,0.0056284737,,0,0.05,0.05,0,,0.05,0,0
4.8,0,0.0000092147,0.0000053451,0.0056129206,,0,0.05,0.05,0,,0.05,0,0
4.85,0,0.0000094128,0.0000053851,0.005598864,,0,0.05,0.05,0,,0.05,0,0
