Time Series 1 = CellDef_1.Attractant (Concentration)

Time,Time Series 1
0,0.0073691398
0.05,0.0073761657
0.10,0.0073831886
0.15,0.0073902093
0.20,0.0073972292
0.25,0.0074042462
0.30,0.0074112602
0.35,0.0074182719
0.40,0.0074252836
0.45,0.0074322939
0.50,0.0074393004
0.55,0.0074463055
0.60,0.0074533075
0.65,0.0074603103
0.70,0.0074673094
0.75,0.0074743062
0.80,0.0074813023
0.85,0.0074882925
0.90,0.0074952856
0.95,0.0075022757
1.00,0.0075092629
1.05,0.0075162478
1.10,0.0075232290
1.15,0.0075302117
1.20,0.0075371899
1.25,0.0075441644
1.30,0.0075511411
1.35,0.0075581133
1.40,0.0075650856
1.45,0.0075720549
1.50,0.0075790226
1.55,0.0075859860
1.60,0.0075929485
1.65,0.0075999111
1.70,0.0076068699
1.75,0.0076138273
1.80,0.0076207846
1.85,0.0076277398
1.90,0.0076346926
1.95,0.0076416425
2.00,0.0076485902
2.05,0.0076555349
2.10,0.0076697454
2.15,0.0076906942
2.20,0.0077179253
2.25,0.0077510089
2.30,0.0077895559
2.35,0.0078332193
2.40,0.0078816749
2.45,0.0079346217
2.50,0.0079918064
2.55,0.0080529705
2.60,0.0081178933
2.65,0.0081863642
2.70,0.0082581960
2.75,0.0083332069
2.80,0.0084112465
2.85,0.0084921680
2.90,0.0085758299
2.95,0.0086621143
3.00,0.0087509058
3.05,0.0088420972
3.10,0.0089355953
3.15,0.0090313256
3.20,0.0091291934
3.25,0.0092291355
3.30,0.0093310826
3.35,0.0094349794
3.40,0.0095407791
3.45,0.0096484356
3.50,0.0097579062
3.55,0.0098691583
3.60,0.0099821582
3.65,0.0100968763
3.70,0.0102132976
3.75,0.0103314169
3.80,0.0104511969
3.85,0.0105726473
3.90,0.0106957547
3.95,0.0108205184
4.00,0.0109469444
4.05,0.0110750332
4.10,0.0112048164
4.15,0.0113362782
4.20,0.0114694476
4.25,0.0116043441
4.30,0.0117409773
4.35,0.0118793942
4.40,0.0120196052
4.45,0.0121616408
4.50,0.0123055398
4.55,0.0124513388
4.60,0.0125990763
4.65,0.0127487853
4.70,0.0129005179
4.75,0.0130543083
4.80,0.0132102266
4.85,0.0133682922
4.90,0.0135285795
4.95,0.0136911392
5.00,0.0138560206
5.05,0.0140232906
5.10,0.0141930282
5.15,0.0143652588
5.20,0.0145400703
5.25,0.0147175387
5.30,0.0148977146
5.35,0.0150806651
5.40,0.0152664989
5.45,0.0154552683
5.50,0.0156470448
5.55,0.0158419147
5.60,0.0160399541
