Time Series 3 = CellDef_2.Attractant (Concentration)

Time,Time Series 3
0,0.0019734439
0.05,0.0019734439
0.10,0.0019734439
0.15,0.0019734439
0.20,0.0019734439
0.25,0.0019734439
0.30,0.0019734439
0.35,0.0019734439
0.40,0.0019734439
0.45,0.0019734439
0.50,0.0019734439
0.55,0.0019734439
0.60,0.0019734439
0.65,0.0019734439
0.70,0.0019734439
0.75,0.0019734439
0.80,0.0019734439
0.85,0.0019734439
0.90,0.0019734439
0.95,0.0019734439
1.00,0.0019734439
1.05,0.0019734439
1.10,0.0019734439
1.15,0.0019734439
1.20,0.0019734439
1.25,0.0019734439
1.30,0.0019734439
1.35,0.0019734439
1.40,0.0019734439
1.45,0.0019734439
1.50,0.0019734439
1.55,0.0019734439
1.60,0.0019734439
1.65,0.0019734439
1.70,0.0019734439
1.75,0.0019734439
1.80,0.0019734439
1.85,0.0019734439
1.90,0.0019734439
1.95,0.0019734439
2.00,0.0019734439
2.05,0.0019734439
2.10,0.0019732637
2.15,0.0019729123
2.20,0.0019724059
2.25,0.0019717524
2.30,0.0019709643
2.35,0.0019700455
2.40,0.0019690089
2.45,0.0019678595
2.50,0.0019666024
2.55,0.0019652455
2.60,0.0019637924
2.65,0.0019622478
2.70,0.0019606198
2.75,0.0019589069
2.80,0.0019571155
2.85,0.0019552491
2.90,0.0019533115
2.95,0.0019513054
3.00,0.0019492304
3.05,0.0019469677
3.10,0.0019447370
3.15,0.0019424484
3.20,0.0019400999
3.25,0.0019376941
3.30,0.0019352348
3.35,0.0019327222
3.40,0.0019301597
3.45,0.0019275453
3.50,0.0019248818
3.55,0.0019221733
3.60,0.0019194188
3.65,0.0019166195
3.70,0.0019137771
3.75,0.0019108921
3.80,0.0019079675
3.85,0.0019050047
3.90,0.0019020025
3.95,0.0018989643
4.00,0.0018958905
4.05,0.0018927822
4.10,0.0018896392
4.15,0.0018867133
4.20,0.0018839901
4.25,0.0018814589
4.30,0.0018791058
4.35,0.0018769187
4.40,0.0018748888
4.45,0.0018730054
4.50,0.0018712563
4.55,0.0018696336
4.60,0.0018681291
4.65,0.0018667358
4.70,0.0018654432
4.75,0.0018642449
4.80,0.0018631343
4.85,0.0018621056
4.90,0.0018611538
4.95,0.0018602720
5.00,0.0018594555
5.05,0.0018586988
5.10,0.0018579976
5.15,0.0018573490
5.20,0.0018567499
5.25,0.0018561927
5.30,0.0018556794
5.35,0.0018552033
5.40,0.0018547615
5.45,0.0018543529
5.50,0.0018539762
5.55,0.0018536267
5.60,0.0018533040
5.65,0.0018534214
5.70,0.0018539457
5.75,0.0018548487
5.80,0.0018560998
5.85,0.0018576743
5.90,0.0018595486
5.95,0.0018616981
6.00,0.0018641064
6.05,0.0018667490
6.10,0.0018696113
6.15,0.0018726770
6.20,0.0018759295
6.25,0.0018793555
6.30,0.0018829430
6.35,0.0018866765
6.40,0.0018905478
6.45,0.0018945454
6.50,0.0018986589
6.55,0.0019028798
6.60,0.0019072002
6.65,0.0019116111
6.70,0.0019161070
6.75,0.0019206792
6.80,0.0019253221
6.85,0.0019300303
6.90,0.0019347991
6.95,0.0019396223
7.00,0.0019444957
7.05,0.0019494155
7.10,0.0019543772
7.15,0.0019593765
7.20,0.0019644124
7.25,0.0019694793
7.30,0.0019745741
7.35,0.0019796970
7.40,0.0019848424
7.45,0.0019900103
7.50,0.0019951963
7.55,0.0020004008
7.60,0.0020056204
7.65,0.0020108542
7.70,0.0020161022
7.75,0.0020213597
7.80,0.0020266273
7.85,0.0020319035
7.90,0.0020371883
7.95,0.0020424789
8.00,0.0020474582
8.05,0.0020527376
8.10,0.0020580215
8.15,0.0020633065
8.20,0.0020685960
8.25,0.0020739757
8.30,0.0020792396
8.35,0.0020845032
8.40,0.0020897675
8.45,0.0020950327
8.50,0.0021002996
8.55,0.0021055650
8.60,0.0021108338
8.65,0.0021160997
8.70,0.0021213645
8.75,0.0021266320
8.80,0.0021318970
8.85,0.0021371632
8.90,0.0021424312
8.95,0.0021476976
9.00,0.0021529633
9.05,0.0021582330
9.10,0.0021635022
9.15,0.0021687725
9.20,0.0021740443
9.25,0.0021793204
9.30,0.0021845964
9.35,0.0021898760
9.40,0.0021951592
9.45,0.0022004475
9.50,0.0022057388
9.55,0.0022110392
9.60,0.0022163421
9.65,0.0022216521
9.70,0.0022269678
9.75,0.0022322966
9.80,0.0022376296
9.85,0.0022429740
9.90,0.0022483305
9.95,0.0022536968
10.00,0.0022590761
10.05,0.0022644694
10.10,0.0022698778
10.15,0.0022752995
10.20,0.0022807394
10.25,0.0022861974
10.30,0.0022916726
10.35,0.0022971705
10.40,0.0023026860
10.45,0.0023082281
10.50,0.0023137904
10.55,0.0023193792
10.60,0.0023249923
10.65,0.0023306336
10.70,0.0023363039
10.75,0.0023420043
10.80,0.0023477341
10.85,0.0023534985
10.90,0.0023592936
10.95,0.0023651249
11.00,0.0023709915
11.05,0.0023768949
11.10,0.0023828379
11.15,0.0023888226
11.20,0.0023948438
11.25,0.0024009091
11.30,0.0024070167
11.35,0.0024131690
11.40,0.0024193639
11.45,0.0024256061
11.50,0.0024318942
11.55,0.0024382293
11.60,0.0024446126
11.65,0.0024510461
11.70,0.0024575272
11.75,0.0024640595
11.80,0.0024706414
11.85,0.0024772743
11.90,0.0024839584
11.95,0.0024906939
12.00,0.0024974803
12.05,0.0025043197
12.10,0.0025112086
12.15,0.0025181486
12.20,0.0025251401
12.25,0.0025321809
12.30,0.0025392722
12.35,0.0025464115
12.40,0.0025536020
12.45,0.0025608398
12.50,0.0025681222
12.55,0.0025754515
12.60,0.0025828271
12.65,0.0025902418
12.70,0.0026183799
12.75,0.0026259285
12.80,0.0026335146
12.85,0.0026411377
12.90,0.0026487932
12.95,0.0026564805
13.00,0.0026641991
13.05,0.0026719433
13.10,0.0026797140
13.15,0.0026875073
13.20,0.0026953209
13.25,0.0027031498
13.30,0.0027109920
13.35,0.0027188479
13.40,0.0027267111
13.45,0.0027345803
13.50,0.0027424472
13.55,0.0027503157
13.60,0.0027581786
13.65,0.0027660325
13.70,0.0027738758
13.75,0.0027817013
13.80,0.0027895111
13.85,0.0027972958
13.90,0.0028050537
13.95,0.0028127851
14.00,0.0028204829
14.05,0.0028281421
14.10,0.0028357634
14.15,0.0028433385
14.20,0.0028508678
14.25,0.0028583459
14.30,0.0028657697
14.35,0.0028731346
14.40,0.0028804403
14.45,0.0028876830
14.50,0.0028948574
14.55,0.0029019606
14.60,0.0029089907
14.65,0.0029159444
14.70,0.0029228211
14.75,0.0029296135
14.80,0.0029363220
14.85,0.0029429465
14.90,0.0029494802
14.95,0.0029559226
15.00,0.0029622717
15.05,0.0029685271
15.10,0.0029746844
15.15,0.0029807449
15.20,0.0029867061
15.25,0.0029925636
15.30,0.0029983222
15.35,0.0030039758
15.40,0.0030095247
15.45,0.0030149706
15.50,0.0030203110
15.55,0.0030255450
15.60,0.0030306738
15.65,0.0030356962
15.70,0.0030406117
15.75,0.0030454234
15.80,0.0030501306
15.85,0.0030547292
15.90,0.0030592252
15.95,0.0030636184
16.00,0.0030679109
16.05,0.0030720993
16.10,0.0030761855
16.15,0.0030801743
16.20,0.0030840628
16.25,0.0030878570
16.30,0.0030915530
16.35,0.0030951581
16.40,0.0030986690
16.45,0.0031020902
16.50,0.0031054239
16.55,0.0031086656
16.60,0.0031118274
16.65,0.0031149038
16.70,0.0031178996
16.75,0.0031208149
16.80,0.0031236536
16.85,0.0031264189
16.90,0.0031291076
16.95,0.0031317261
17.00,0.0031342765
17.05,0.0031367594
17.10,0.0031391776
17.15,0.0031415310
17.20,0.0031438242
17.25,0.0031460605
17.30,0.0031482382
17.35,0.0031503625
17.40,0.0031524322
17.45,0.0031544534
17.50,0.0031564222
17.55,0.0031583477
17.60,0.0031602262
17.65,0.0031620609
17.70,0.0031638553
17.75,0.0031656080
17.80,0.0031673233
17.85,0.0031690013
17.90,0.0031706472
17.95,0.0031722556
18.00,0.0031738339
18.05,0.0031753811
18.10,0.0031769010
18.15,0.0031783895
18.20,0.0031798538
18.25,0.0031812945
18.30,0.0031827083
18.35,0.0031841001
18.40,0.0031854701
18.45,0.0031868208
18.50,0.0031881493
18.55,0.0031894594
18.60,0.0031907535
18.65,0.0031920299
18.70,0.0031932897
18.75,0.0031945324
18.80,0.0031957631
18.85,0.0031969771
18.90,0.0031981776
18.95,0.0031993669
19.00,0.0032005415
19.05,0.0032017075
19.10,0.0032028600
19.15,0.0032039997
19.20,0.0032051287
19.25,0.0032036791
19.30,0.0032047408
19.35,0.0032057948
19.40,0.0032068382
19.45,0.0032078722
19.50,0.0032088950
19.55,0.0032099090
19.60,0.0032109148
19.65,0.0032119125
19.70,0.0032129001
19.75,0.0032138780
19.80,0.0032148482
19.85,0.0032158096
19.90,0.0032167614
19.95,0.0032177009
20.00,0.0032186352
20.05,0.0032195610
20.10,0.0032204748
20.15,0.0032213796
20.20,0.0032222783
20.25,0.0032231626
20.30,0.0032240395
20.35,0.0032249063
20.40,0.0032257640
20.45,0.0032266097
20.50,0.0032274458
20.55,0.0032282702
20.60,0.0032290849
20.65,0.0032298879
20.70,0.0032306830
20.75,0.0032314614
20.80,0.0032322318
20.85,0.0032329876
20.90,0.0032337338
20.95,0.0032344663
21.00,0.0032351876
21.05,0.0032358968
21.10,0.0032365920
21.15,0.0032372733
21.20,0.0032379422
21.25,0.0032385977
21.30,0.0032392398
21.35,0.0032398638
21.40,0.0032404780
21.45,0.0032410754
21.50,0.0032416577
21.55,0.0032422270
21.60,0.0032427800
21.65,0.0032433183
21.70,0.0032438394
21.75,0.0032443448
21.80,0.0032448357
21.85,0.0032453095
21.90,0.0032457674
21.95,0.0032462054
22.00,0.0032466287
22.05,0.0032470350
22.10,0.0032474252
22.15,0.0032477970
22.20,0.0032481512
22.25,0.0032484881
22.30,0.0032488091
22.35,0.0032491090
22.40,0.0032493917
22.45,0.0032496576
22.50,0.0032499060
22.55,0.0032501346
22.60,0.0032503475
22.65,0.0032505419
22.70,0.0032507197
22.75,0.0032508771
22.80,0.0032510206
22.85,0.0032511458
22.90,0.0032512536
22.95,0.0032513442
23.00,0.0032514175
23.05,0.0032514781
23.10,0.0032515221
23.15,0.0032515500
23.20,0.0032515659
23.25,0.0032515621
23.30,0.0032515507
23.35,0.0032482985
23.40,0.0032482373
23.45,0.0032481635
23.50,0.0032480804
23.55,0.0032479845
23.60,0.0032478801
23.65,0.0032477702
23.70,0.0032476503
23.75,0.0032475267
23.80,0.0032473970
23.85,0.0032472638
23.90,0.0032471272
23.95,0.0032469891
24.00,0.0032468536
24.05,0.0032467172
24.10,0.0032465949
24.15,0.0032464832
24.20,0.0032463821
24.25,0.0032462943
24.30,0.0032462173
24.35,0.0032461465
24.40,0.0032460894
24.45,0.0032460347
24.50,0.0032459907
24.55,0.0032459514
24.60,0.0032459174
24.65,0.0032458880
24.70,0.0032458636
24.75,0.0032458415
24.80,0.0032458236
24.85,0.0032458075
24.90,0.0032457944
24.95,0.0032457847
25.00,0.0032457737
25.05,0.0032457674
25.10,0.0032457600
25.15,0.0032457544
25.20,0.0032457495
25.25,0.0032457467
25.30,0.0032457439
25.35,0.0032457428
25.40,0.0032457397
25.45,0.0032457388
25.50,0.0032457409
25.55,0.0032457393
25.60,0.0032457376
25.65,0.0032457346
25.70,0.0032457372
25.75,0.0032457365
25.80,0.0032457376
25.85,0.0032457374
25.90,0.0032457369
25.95,0.0032457383
26.00,0.0032457381
26.05,0.0032457369
26.10,0.0032452589
26.15,0.0032443411
26.20,0.0032430133
26.25,0.0032413113
26.30,0.0032392652
26.35,0.0032369036
26.40,0.0032342570
26.45,0.0032313445
26.50,0.0032281911
26.55,0.0032248187
26.60,0.0032212492
26.65,0.0032174943
26.70,0.0032135786
26.75,0.0032095136
26.80,0.0032053103
26.85,0.0032009890
26.90,0.0031965517
