Concentration Time
0.0 0.6672619047619047
1.0e-2 0.685
1.5e-2 0.64
2.0e-2 0.6866666666666666
2.5e-2 0.54
3.0e-2 0.6666666666666666
4.0e-2 0.725
6.5e-2 0.52
7.0e-2 0.675
8.0e-2 0.76
8.499999999999999e-2 0.78
9.5e-2 0.58
0.1 0.78
0.11 0.5900000000000001
0.12 0.78
0.125 0.68
0.135 0.7000000000000001
0.14 0.655
0.14500000000000002 0.78
0.15 0.6133333333333334
0.16 0.5066666666666667
0.165 0.6
0.18 0.74
0.215 0.78
0.23 0.7000000000000001
0.26 0.56
0.265 0.6
0.27 0.7000000000000001
0.275 0.74
0.28 0.66
0.3 0.56
0.315 0.7000000000000001
0.335 0.66
0.34 0.62
0.395 0.48
0.4 0.72
0.405 0.68
0.41 0.64
0.42 0.46
0.425 0.46
0.435 0.56
0.46 0.76
0.47 0.64
0.475 0.5
0.495 0.64
0.505 0.5
0.515 0.7000000000000001
0.535 0.72
0.545 0.62
0.55 0.73
0.57 0.64
0.58 0.6533333333333334
0.595 0.58
0.6 0.6
0.615 0.76
0.62 0.52
0.63 0.66
0.65 0.62
0.705 0.46
0.73 0.63
0.755 0.54
0.76 0.8
0.81 0.64
0.84 0.52
0.85 0.8
0.855 0.46
0.88 0.74
0.895 0.62
0.92 0.46
0.96 0.74
0.975 0.58
0.9899999999999999 0.56
1.0150000000000001 0.5700000000000001
1.025 0.42
1.0350000000000001 0.48
1.045 0.44
1.05 0.78
1.0750000000000002 0.68
1.08 0.62
1.09 0.46
1.0950000000000002 0.6
1.1 0.54
1.1150000000000002 0.56
1.12 0.48
1.1349999999999998 0.52
1.14 0.5900000000000001
1.1649999999999998 0.72
1.165 0.72
1.185 0.74
1.1949999999999998 0.52
1.2149999999999999 0.5
1.2349999999999999 0.64
1.24 0.74
1.2650000000000001 0.68
1.27 0.6
1.495 0.76
1.525 0.5
1.5350000000000001 0.5
1.565 0.72
1.6033333333333335 0.8
