Time Series 1 = CellDef_1.Attractant (Concentration)

Time,Time Series 1
0,0.1049540162
0.05,0.1049488425
0.10,0.1049436688
0.15,0.1049384713
0.20,0.1049333334
0.25,0.1049281716
0.30,0.1049230337
0.35,0.1049178600
0.40,0.1049127460
0.45,0.1049075723
0.50,0.1049024343
0.55,0.1048973083
0.60,0.1048921704
0.65,0.1048870444
0.70,0.1048818827
0.75,0.1048767447
0.80,0.1048715949
0.85,0.1048664808
0.90,0.1048613429
0.95,0.1048562169
1.00,0.1048511028
1.05,0.1048460007
1.10,0.1048408985
1.15,0.1048357844
1.20,0.1048306465
1.25,0.1048255563
1.30,0.1048204303
1.35,0.1048153162
1.40,0.1048102021
1.45,0.1048050880
1.50,0.1047999978
1.55,0.1047948837
1.60,0.1047898054
1.65,0.1047847271
1.70,0.1047796488
1.75,0.1047745585
1.80,0.1047694802
1.85,0.1047643781
1.90,0.1047592998
1.95,0.1047542334
2.00,0.1047491312
2.05,0.1047440648
2.10,0.1047357678
2.15,0.1047245741
2.20,0.1047105432
2.25,0.1046938896
2.30,0.1046745539
2.35,0.1046526432
2.40,0.1046280980
2.45,0.1046010613
2.50,0.1045714855
2.55,0.1045393348
2.60,0.1045045733
2.65,0.1044673085
2.70,0.1044273376
2.75,0.1043847799
2.80,0.1043394923
2.85,0.1042916298
2.90,0.1042409062
2.95,0.1041875720
3.00,0.1041314721
3.05,0.1040726781
3.10,0.1040110588
3.15,0.1039467096
3.20,0.1038796306
3.25,0.1038097739
3.30,0.1037373185
3.35,0.1036620855
3.40,0.1035841942
3.45,0.1035036445
3.50,0.1034204841
3.55,0.1033347607
3.60,0.1032465816
3.65,0.1031558633
3.70,0.1030627489
3.75,0.1029672861
3.80,0.1028695583
3.85,0.1027696252
3.90,0.1026675344
3.95,0.1025634408
4.00,0.1024573803
4.05,0.1023493886
4.10,0.1022397041
4.15,0.1021366835
4.20,0.1020401597
4.25,0.1019498348
4.30,0.1018653274
4.35,0.1017863870
4.40,0.1017126322
4.45,0.1016438127
4.50,0.1015797019
4.55,0.1015198350
4.60,0.1014640570
4.65,0.1014119506
4.70,0.1013633966
4.75,0.1013181567
4.80,0.1012759209
4.85,0.1012365460
4.90,0.1011996746
4.95,0.1011653304
5.00,0.1011331797
5.05,0.1011031747
5.10,0.1010750532
