Time Series 1 = CellDef_1.Attractant (Concentration)

Time,Time Series 1
0,0.0772962451
0.05,0.0772962749
0.10,0.0772963166
0.15,0.0772963464
0.20,0.0772963762
0.25,0.0772963881
0.30,0.0772964299
0.35,0.0772964716
0.40,0.0772965133
0.45,0.0772965968
0.50,0.0772966206
0.55,0.0772966683
0.60,0.0772967100
0.65,0.0772967517
0.70,0.0772968113
0.75,0.0772968471
0.80,0.0772968948
0.85,0.0772969723
0.90,0.0772970438
0.95,0.0772971094
1.00,0.0772971749
1.05,0.0772972345
1.10,0.0772973359
1.15,0.0772974074
1.20,0.0772975028
1.25,0.0772976041
1.30,0.0772977293
1.35,0.0772978127
1.40,0.0772979140
1.45,0.0772979856
1.50,0.0772980928
1.55,0.0772981822
1.60,0.0772982895
1.65,0.0772983849
1.70,0.0772985041
1.75,0.0772986174
1.80,0.0772987545
1.85,0.0772988379
1.90,0.0772989631
1.95,0.0772990704
2.00,0.0772991776
2.05,0.0772993088
2.10,0.0773438156
2.15,0.0774291992
2.20,0.0775522470
2.25,0.0777098894
2.30,0.0778992593
2.35,0.0781175911
2.40,0.0783623397
2.45,0.0786311448
2.50,0.0789216697
2.55,0.0792318463
2.60,0.0795596302
2.65,0.0799031258
2.70,0.0802604795
2.75,0.0806300521
2.80,0.0810103536
2.85,0.0813998163
2.90,0.0817969084
2.95,0.0822003484
3.00,0.0826089561
3.05,0.0830214620
3.10,0.0834366083
3.15,0.0838535368
3.20,0.0842710495
3.25,0.0846882641
3.30,0.0851042926
3.35,0.0855182469
3.40,0.0859293461
3.45,0.0863368511
3.50,0.0867399275
3.55,0.0871380568
3.60,0.0875304580
3.65,0.0879165769
3.70,0.0882957697
3.75,0.0886675477
3.80,0.0890313685
3.85,0.0893869102
3.90,0.0897335649
3.95,0.0900709510
4.00,0.0893576145
4.05,0.0896862805
4.10,0.0900044441
4.15,0.0902879775
4.20,0.0905409396
4.25,0.0907668948
4.30,0.0909689307
4.35,0.0911497116
4.40,0.0913116574
4.45,0.0914568245
4.50,0.0915871620
4.55,0.0917043209
4.60,0.0918095887
4.65,0.0919044733
4.70,0.0919899285
4.75,0.0920669198
4.80,0.0921364009
4.85,0.0921990275
4.90,0.0922556400
4.95,0.0923067451
5.00,0.0923529148
5.05,0.0923946202
5.10,0.0924322724
5.15,0.0924663961
5.20,0.0924971521
5.25,0.0925249577
5.30,0.0925500453
5.35,0.0925727487
5.40,0.0925931811
5.45,0.0926115274
5.50,0.0926279426
5.55,0.0926427007
5.60,0.0926559746
5.65,0.0926678240
5.70,0.0926783264
5.75,0.0926877022
5.80,0.0926959515
5.85,0.0927032769
5.90,0.0927095115
5.95,0.0926832676
6.00,0.0926267505
6.05,0.0925420582
6.10,0.0924307346
6.15,0.0922943056
6.20,0.0921339095
6.25,0.0919504106
6.30,0.0917447627
6.35,0.0915176034
6.40,0.0912695467
6.45,0.0910010934
6.50,0.0907128572
6.55,0.0904049993
6.60,0.0900780380
6.65,0.0897323549
6.70,0.0893683434
6.75,0.0889861047
6.80,0.0885860562
6.85,0.0881684363
6.90,0.0877335846
6.95,0.0872819304
7.00,0.0868135929
7.05,0.0863289118
7.10,0.0858281076
7.15,0.0853116751
7.20,0.0847798109
7.25,0.0842329919
7.30,0.0836714506
7.35,0.0830956757
7.40,0.0825059116
7.45,0.0819025457
7.50,0.0812860191
7.55,0.0806567967
7.60,0.0800152063
7.65,0.0793616772
7.70,0.0786966264
7.75,0.0780205429
7.80,0.0773338020
7.85,0.0766369104
7.90,0.0759302378
7.95,0.0752143502
8.00,0.0745464563
8.05,0.0739240587
8.10,0.0733445585
8.15,0.0728054464
8.20,0.0723043919
8.25,0.0718389392
8.30,0.0714068174
8.35,0.0710058272
8.40,0.0706338465
8.45,0.0702890098
8.50,0.0699694216
8.55,0.0696732521
8.60,0.0693988919
8.65,0.0691448510
8.70,0.0689096689
8.75,0.0686919153
8.80,0.0684903741
8.85,0.0683038592
8.90,0.0681312561
8.95,0.0679716289
9.00,0.0678239286
9.05,0.0676873028
9.10,0.0675609946
9.15,0.0674442172
9.20,0.0673362434
9.25,0.0672363818
9.30,0.0671441376
9.35,0.0670587957
9.40,0.0669799805
9.45,0.0669071436
9.50,0.0668398082
9.55,0.0667776406
9.60,0.0667201996
9.65,0.0666671932
9.70,0.0666182101
9.75,0.0665730536
9.80,0.0665313125
9.85,0.0664927423
9.90,0.0664571881
9.95,0.0664243519
10.00,0.0663694322
10.05,0.0662939370
10.10,0.0661993563
10.15,0.0660868704
10.20,0.0659576893
10.25,0.0658128619
10.30,0.0656532168
10.35,0.0654797196
10.40,0.0652931333
10.45,0.0650942564
10.50,0.0648837507
10.55,0.0646623313
10.60,0.0644305706
10.65,0.0653070569
10.70,0.0650672615
10.75,0.0648193657
10.80,0.0645639479
10.85,0.0643014491
10.90,0.0640323579
10.95,0.0637572229
11.00,0.0634764254
11.05,0.0631904185
11.10,0.0628996849
11.15,0.0626046360
11.20,0.0623056352
11.25,0.0620031953
11.30,0.0616977155
11.35,0.0613894939
11.40,0.0610789657
11.45,0.0607665360
11.50,0.0604524910
11.55,0.0601371467
11.60,0.0598208964
11.65,0.0595040977
11.70,0.0591869533
11.75,0.0588698924
11.80,0.0585529923
11.85,0.0582367599
11.90,0.0579214394
11.95,0.0576071143
12.00,0.0572941661
12.05,0.0570072353
12.10,0.0567441463
12.15,0.0565030158
12.20,0.0562819779
12.25,0.0560792506
12.30,0.0558934748
12.35,0.0557231247
12.40,0.0555669785
12.45,0.0554237962
12.50,0.0552925766
12.55,0.0551722944
12.60,0.0550620317
12.65,0.0549609423
12.70,0.0548683643
12.75,0.0547835290
12.80,0.0547059298
12.85,0.0546348453
12.90,0.0545698225
12.95,0.0545103371
13.00,0.0544559836
13.05,0.0544063866
13.10,0.0543610692
13.15,0.0543197691
13.20,0.0542821527
13.25,0.0542479515
13.30,0.0542168319
13.35,0.0541886389
13.40,0.0541630030
13.45,0.0541398525
13.50,0.0541190386
13.55,0.0541002333
13.60,0.0540833890
13.65,0.0540627539
13.70,0.0540385067
13.75,0.0540106654
13.80,0.0539791167
13.85,0.0539437413
13.90,0.0539042354
13.95,0.0538603067
14.00,0.0538116753
14.05,0.0537580609
14.10,0.0536990881
14.15,0.0536344469
14.20,0.0535638273
14.25,0.0534869969
14.30,0.0534036517
14.35,0.0533134639
14.40,0.0532163918
14.45,0.0531121910
14.50,0.0530006349
14.55,0.0528816938
14.60,0.0527551770
14.65,0.0526211739
14.70,0.0524794757
14.75,0.0523301959
14.80,0.0521732986
14.85,0.0520087481
14.90,0.0518367350
14.95,0.0516572893
15.00,0.0514704347
15.05,0.0512763679
15.10,0.0510752022
15.15,0.0508671820
15.20,0.0506523609
15.25,0.0504309058
15.30,0.0502031147
15.35,0.0499691337
15.40,0.0497291356
15.45,0.0494834095
15.50,0.0492322028
15.55,0.0489756644
15.60,0.0487140894
15.65,0.0484477282
15.70,0.0481985897
15.75,0.0479659438
15.80,0.0477491111
15.85,0.0475472629
15.90,0.0473596603
15.95,0.0471854985
16.00,0.0470239997
16.05,0.0468742996
16.10,0.0467357725
16.15,0.0466076314
16.20,0.0464891791
16.25,0.0463798344
16.30,0.0462789267
16.35,0.0461858660
16.40,0.0461000741
16.45,0.0460211098
16.50,0.0459485024
16.55,0.0458817601
16.60,0.0458204210
16.65,0.0457641304
16.70,0.0457125157
16.75,0.0456652910
16.80,0.0455721527
16.85,0.0454367220
16.90,0.0452624172
16.95,0.0450523406
17.00,0.0448095620
17.05,0.0445368320
17.10,0.0442367166
17.15,0.0439117938
17.20,0.0435642898
17.25,0.0431962550
17.30,0.0428097308
17.35,0.0424065888
17.40,0.0419884950
17.45,0.0415570706
17.50,0.0411138266
17.55,0.0406600267
17.60,0.0401970178
17.65,0.0397259980
17.70,0.0392480582
17.75,0.0387641788
17.80,0.0382753044
17.85,0.0377823025
17.90,0.0372859836
17.95,0.0367871225
18.00,0.0362864316
18.05,0.0357844949
18.10,0.0352819383
18.15,0.0347792834
18.20,0.0342770785
18.25,0.0337757111
18.30,0.0332756937
18.35,0.0327774197
18.40,0.0322812378
18.45,0.0317874998
18.50,0.0312965482
18.55,0.0308086246
