Time Series 1 = CellDef_1.Attractant (Concentration)

Time,Time Series 1
0,0.0073691398
0.05,0.0073761657
0.10,0.0073831886
0.15,0.0073902093
0.20,0.0073972292
0.25,0.0074042462
0.30,0.0074112602
0.35,0.0074182719
0.40,0.0074252836
0.45,0.0074322939
0.50,0.0074393004
0.55,0.0074463055
0.60,0.0074533075
0.65,0.0074603103
0.70,0.0074673094
0.75,0.0074743062
0.80,0.0074813023
0.85,0.0074882925
0.90,0.0074952856
0.95,0.0075022757
1.00,0.0075092629
1.05,0.0075162478
1.10,0.0075232290
1.15,0.0075302117
1.20,0.0075371899
1.25,0.0075441644
1.30,0.0075511411
1.35,0.0075581133
1.40,0.0075650856
1.45,0.0075720549
1.50,0.0075790226
1.55,0.0075859860
1.60,0.0075929485
1.65,0.0075999111
1.70,0.0076068699
1.75,0.0076138273
1.80,0.0076207846
1.85,0.0076277398
1.90,0.0076346926
1.95,0.0076416425
2.00,0.0076485902
2.05,0.0076555349
2.10,0.0076576002
2.15,0.0076551400
2.20,0.0076484986
2.25,0.0076379798
2.30,0.0076238699
2.35,0.0076064542
2.40,0.0075859815
2.45,0.0075626820
2.50,0.0075367682
2.55,0.0075084403
2.60,0.0074778937
2.65,0.0074452847
2.70,0.0074107833
2.75,0.0073745206
2.80,0.0073366396
2.85,0.0072972514
2.90,0.0072564743
2.95,0.0072144151
3.00,0.0071711555
3.05,0.0071267985
3.10,0.0070814125
3.15,0.0070350751
3.20,0.0069878519
3.25,0.0069398023
3.30,0.0068909839
3.35,0.0068414599
3.40,0.0067912661
3.45,0.0067404613
3.50,0.0066890836
3.55,0.0066371672
3.60,0.0065847538
3.65,0.0065318875
3.70,0.0064785928
3.75,0.0064249039
3.80,0.0063708536
3.85,0.0063164681
3.90,0.0062617771
3.95,0.0062068075
4.00,0.0061515860
4.05,0.0060961358
4.10,0.0060404874
4.15,0.0059894059
4.20,0.0059425369
4.25,0.0058995668
4.30,0.0058601953
4.35,0.0058241408
4.40,0.0057911552
4.45,0.0057609979
4.50,0.0057334557
4.55,0.0057083257
4.60,0.0056854278
4.65,0.0056645907
4.70,0.0056456503
4.75,0.0056284737
4.80,0.0056129206
4.85,0.0055988640
4.90,0.0055861961
4.95,0.0055748038
5.00,0.0055645980
5.05,0.0055554885
5.10,0.0055473898
5.15,0.0055402283
5.20,0.0055339262
5.25,0.0055284258
5.30,0.0055236585
5.35,0.0055195823
5.40,0.0055161417
5.45,0.0055132799
5.50,0.0055109601
5.55,0.0055091385
5.60,0.0055077832
