Time Series 1 = CellDef_1.Attractant (Concentration)

Time,Time Series 1
0,0.1049540162
0.05,0.1049488425
0.10,0.1049436688
0.15,0.1049384713
0.20,0.1049333334
0.25,0.1049281716
0.30,0.1049230337
0.35,0.1049178600
0.40,0.1049127460
0.45,0.1049075723
0.50,0.1049024343
0.55,0.1048973083
0.60,0.1048921704
0.65,0.1048870444
0.70,0.1048818827
0.75,0.1048767447
0.80,0.1048715949
0.85,0.1048664808
0.90,0.1048613429
0.95,0.1048562169
1.00,0.1048511028
1.05,0.1048460007
1.10,0.1048408985
1.15,0.1048357844
1.20,0.1048306465
1.25,0.1048255563
1.30,0.1048204303
1.35,0.1048153162
1.40,0.1048102021
1.45,0.1048050880
1.50,0.1047999978
1.55,0.1047948837
1.60,0.1047898054
1.65,0.1047847271
1.70,0.1047796488
1.75,0.1047745585
1.80,0.1047694802
1.85,0.1047643781
1.90,0.1047592998
1.95,0.1047542334
2.00,0.1047491312
2.05,0.1047440648
2.10,0.1047255039
2.15,0.1046945691
2.20,0.1046521664
2.25,0.1045991182
2.30,0.1045363069
2.35,0.1044644713
2.40,0.1043843150
2.45,0.1042966366
2.50,0.1042019963
2.55,0.1041010141
2.60,0.1039942026
2.65,0.1038821101
2.70,0.1037653446
2.75,0.1036442280
2.80,0.1035192132
2.85,0.1033908010
2.90,0.1032594085
2.95,0.1031252742
3.00,0.1029888153
3.05,0.1028503537
3.10,0.1027102351
3.15,0.1025686264
3.20,0.1024259329
3.25,0.1022823691
3.30,0.1021381974
3.35,0.1019935966
3.40,0.1018487692
3.45,0.1017039180
3.50,0.1015591502
3.55,0.1014147639
3.60,0.1012707829
3.65,0.1011274695
3.70,0.1009848595
3.75,0.1008430600
3.80,0.1007021785
3.85,0.1005623817
3.90,0.1004237175
3.95,0.1002861381
4.00,0.1001498580
4.05,0.1000147939
4.10,0.0998810410
4.15,0.0997583628
4.20,0.0996456504
4.25,0.0995419025
4.30,0.0994464099
4.35,0.0993581951
4.40,0.0992767513
4.45,0.0992014170
4.50,0.0991316438
4.55,0.0990669727
4.60,0.0990068793
4.65,0.0989509523
4.70,0.0988989115
4.75,0.0988504529
4.80,0.0988051414
4.85,0.0987629116
4.90,0.0987233460
4.95,0.0986862659
5.00,0.0986515045
5.05,0.0986188650
5.10,0.0985881984
