Time Series 1 = CellDef_1.runTime (Cells)
Time Series 2 = CellDef_2.runTime (Cells)
Time Series 3 = CellDef_3.runTime (Cells)
Time Series 4 = CellDef_4.runTime (Cells)
Time Series 5 = CellDef_5.runTime (Cells)

Time,Time Series 1,Time Series 2,Time Series 3,Time Series 4,Time Series 5
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.02,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.04,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.08,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.18,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.22,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.24,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.26,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.28,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.30,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.32,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.34,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.36,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.38,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.40,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.42,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.44,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.46,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.48,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.50,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.52,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.54,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.56,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.58,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.60,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.62,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.64,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.66,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.68,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.70,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.72,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.74,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.76,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.78,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.80,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.82,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.84,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.86,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.88,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.90,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.92,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.94,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.96,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.98,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.00,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.02,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.04,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.06,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.08,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.18,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.22,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.24,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.26,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.28,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
