Time Series 1 = CellDef_1.Attractant/CellDef_1 (Concentration/Cells)

Time,Time Series 1
0,0.0023698480
0.05,0.0023698480
0.10,0.0023698479
0.15,0.0023698477
0.20,0.0023698477
0.25,0.0023698475
0.30,0.0023698475
0.35,0.0023698475
0.40,0.0023698474
0.45,0.0023698472
0.50,0.0023698471
0.55,0.0023698470
0.60,0.0023698469
0.65,0.0023698469
0.70,0.0023698467
0.75,0.0023698466
0.80,0.0023698465
0.85,0.0023698464
0.90,0.0023698463
0.95,0.0023698463
1.00,0.0023698463
1.05,0.0023698462
1.10,0.0023698462
1.15,0.0023698460
1.20,0.0023698460
1.25,0.0023698459
1.30,0.0023698458
1.35,0.0023698457
1.40,0.0023698456
1.45,0.0023698455
1.50,0.0023698454
1.55,0.0023698453
1.60,0.0023698452
1.65,0.0023698451
1.70,0.0023698451
1.75,0.0023698450
1.80,0.0023698448
1.85,0.0023698447
1.90,0.0023698446
1.95,0.0023698446
2.00,0.0023698445
2.05,0.0023698444
2.10,0.0023698532
2.15,0.0023698703
2.20,0.0023698949
2.25,0.0023699266
2.30,0.0023699642
2.35,0.0023700055
2.40,0.0023700532
2.45,0.0023701055
2.50,0.0023700182
2.55,0.0023700782
2.60,0.0023701436
2.65,0.0023702300
2.70,0.0023702963
2.75,0.0023703627
2.80,0.0023704303
2.85,0.0023704979
2.90,0.0023705649
2.95,0.0023706595
3.00,0.0023704781
3.05,0.0023705284
3.10,0.0023705874
3.15,0.0023706447
3.20,0.0023706993
3.25,0.0023707519
3.30,0.0023708016
3.35,0.0023708453
3.40,0.0023708911
3.45,0.0023709306
3.50,0.0023709819
3.55,0.0023710169
3.60,0.0023710489
3.65,0.0023709382
3.70,0.0023709680
3.75,0.0023712797
3.80,0.0023713686
3.85,0.0023713699
3.90,0.0023712951
3.95,0.0023714550
4.00,0.0023715381
4.05,0.0023715637
4.10,0.0023716920
4.15,0.0023718139
4.20,0.0023720251
4.25,0.0023723172
4.30,0.0023726643
4.35,0.0023731035
4.40,0.0023736067
4.45,0.0023741700
4.50,0.0023747901
4.55,0.0023754619
4.60,0.0023761823
4.65,0.0023769469
4.70,0.0023777534
4.75,0.0023785990
4.80,0.0023794741
4.85,0.0023803890
4.90,0.0023813346
4.95,0.0023823094
5.00,0.0023833116
5.05,0.0023843389
5.10,0.0023853897
5.15,0.0023864625
5.20,0.0023875561
5.25,0.0023886692
5.30,0.0023898000
5.35,0.0023909523
5.40,0.0023921159
5.45,0.0023933008
5.50,0.0023944601
5.55,0.0023956019
5.60,0.0023967109
5.65,0.0023978128
5.70,0.0023988966
5.75,0.0023999626
5.80,0.0024010135
5.85,0.0024020505
5.90,0.0024030987
5.95,0.0024041531
6.00,0.0024052085
6.05,0.0024062739
6.10,0.0024073459
6.15,0.0024084211
6.20,0.0024095177
6.25,0.0024106485
6.30,0.0024117818
6.35,0.0024129237
6.40,0.0024140909
6.45,0.0024153701
6.50,0.0024165675
6.55,0.0024177776
6.60,0.0024189999
6.65,0.0024202333
6.70,0.0024214771
6.75,0.0024227293
6.80,0.0024239897
6.85,0.0024252570
6.90,0.0024265284
6.95,0.0024276940
7.00,0.0024289764
7.05,0.0024305362
7.10,0.0024318251
7.15,0.0024331158
7.20,0.0024344082
7.25,0.0024357006
7.30,0.0024370876
7.35,0.0024384047
7.40,0.0024396949
7.45,0.0024410043
7.50,0.0024423004
7.55,0.0024436059
7.60,0.0024449472
7.65,0.0024463217
7.70,0.0024477217
7.75,0.0024494370
7.80,0.0024508476
7.85,0.0024522627
7.90,0.0024536832
7.95,0.0024551049
8.00,0.0024565344
8.05,0.0024579623
8.10,0.0024595287
8.15,0.0024609381
8.20,0.0024623934
8.25,0.0024637835
8.30,0.0024651855
8.35,0.0024668833
8.40,0.0024682022
8.45,0.0024695222
8.50,0.0024708063
8.55,0.0024720663
8.60,0.0024733035
8.65,0.0024745162
8.70,0.0024757331
8.75,0.0024769007
8.80,0.0024781047
8.85,0.0024792598
8.90,0.0024805587
8.95,0.0024816978
9.00,0.0024828274
9.05,0.0024839531
9.10,0.0024851053
9.15,0.0024862122
9.20,0.0024872878
9.25,0.0024883379
