Lines	Blanks	Comments	Filename
-----	------	--------	--------
34 	8 	8 	    Program.cs
293 	47 	18 	    CellDefinitionsPanelController.cs
26 	9 	7 	    IApplicationUI.cs
26 	3 	11 	    IAnalyzer3DViewPanelUI.cs
187 	42 	17 	    SimulationAnalyserPanelController.cs
134 	23 	82 	    ISpatialConfigurationPanelUI.cs
19 	5 	4 	    IControllable.cs
119 	17 	3 	    GraphLayoutManager_SpringEmbedder.cs
376 	78 	85 	    SpatialConfigurationPanelController.cs
12 	1 	0 	    IGraphRearrangementListener.cs
79 	16 	26 	    Analyzer3DViewPanelController.cs
13 	1 	0 	    ISimulationListener.cs
64 	12 	32 	    ISimulationAnalyserPanelUI.cs
136 	13 	7 	    GraphLayoutThreadManager.cs
41 	8 	0 	    SimulationEditorPanelController.cs
195 	16 	4 	    GraphLayoutManager.cs
122 	17 	21 	    ExperimentTreePanelController.cs
722 	75 	80 	    ApplicationController.cs
84 	18 	45 	    IExperimentTreePanelUI.cs
30 	4 	13 	    ITimeSeriesEditorPanelUI.cs
35 	8 	11 	    ISimulationEditorPanelUI.cs
31 	3 	7 	    ICellDefinitionsPanelUI.cs
139 	14 	9 	    Simulator.cs
189 	26 	14 	    TimeSeriesEditorPanelController.cs
26 	5 	8 	    Settings.Designer.cs
63 	8 	22 	    Resources.Designer.cs
33 	4 	14 	    AssemblyInfo.cs
1142 	158 	21 	    Model.cs
219 	37 	73 	    CellDefinition.cs
107 	11 	25 	    StateSnapshot.cs
851 	190 	133 	    NutrientField.cs
640 	131 	163 	    Environment.cs
605 	84 	173 	    CellInstance.cs
161 	13 	60 	    TimeSeriesFunction.cs
1125 	160 	63 	    Reader.cs
148 	19 	37 	    SpatialContext.cs
141 	34 	23 	    Boundary.cs
21 	3 	4 	    Variable.cs
30 	5 	4 	    TimeSeriesParameters.cs
113 	7 	5 	    Results.cs
208 	16 	75 	    TimeSeries.cs
306 	27 	79 	    Experiment.cs
452 	70 	95 	    Simulation.cs
192 	23 	12 	    SimulationParameters.cs
83 	13 	38 	    MathHelper.cs
50 	4 	10 	    Rectangle.cs
163 	5 	0 	    Vector2.cs
134 	18 	37 	    Vector3.cs
25 	5 	3 	    ICellInstanceController.cs
24 	5 	3 	    ITimeSeriesView.cs
39 	8 	3 	    ISimulationParametersView.cs
32 	8 	3 	    ISimulationView.cs
16 	5 	1 	    ITimeSeriesFunctionSimulator.cs
43 	7 	8 	    IResultsController.cs
29 	6 	3 	    IExperimentController.cs
44 	7 	12 	    ISpatialContextSimulator.cs
23 	6 	0 	    IExperimentSimulator.cs
22 	4 	3 	    ICellInstanceView.cs
23 	6 	1 	    ITimeSeriesSimulator.cs
23 	5 	0 	    IStateSnapshotSimulator.cs
22 	5 	4 	    ICellDefinitionController.cs
24 	4 	0 	    ISimulationSimulator.cs
26 	5 	3 	    IStateSnapshotController.cs
31 	6 	3 	    ITimeSeriesFunctionController.cs
31 	7 	4 	    IExperimentView.cs
22 	5 	0 	    ICellInstanceSimulator.cs
41 	7 	3 	    ISimulationParametersController.cs
18 	1 	3 	    IModelComponent.cs
25 	5 	3 	    ITimeSeriesController.cs
20 	6 	0 	    ICellDefinitionSimulator.cs
24 	5 	3 	    IStateSnapshotView.cs
35 	7 	0 	    ISimulationParametersSimulator.cs
17 	3 	3 	    ICellDefinitionView.cs
28 	6 	3 	    ITimeSeriesFunctionView.cs
33 	6 	3 	    ISimulationController.cs
33 	7 	6 	    IResultsView.cs
49 	8 	18 	    ISpatialContextView.cs
51 	8 	18 	    ISpatialContextController.cs
39 	7 	5 	    IResultsSimulator.cs
109 	13 	37 	    Euler.cs
236 	43 	56 	    CVode.cs
144 	20 	42 	    RungeKutta.cs
43 	10 	16 	    SolverBase.cs
476 	39 	90 	    Model.cs
67 	8 	9 	    Constraint.cs
134 	20 	34 	    Group.cs
181 	18 	56 	    SBase.cs
95 	11 	12 	    InitialAssignment.cs
